City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,kavaratti,10.5669,72.642,80.73,73,100,7.58,IN,2023-02-02 06:57:49
287,morant bay,17.8815,-76.4093,78.42,84,54,15.48,JM,2023-02-02 06:57:04
288,moree,-29.4667,149.85,93.24,16,0,13.24,AU,2023-02-02 06:57:50
289,tailai,46.3833,123.4,16.25,55,8,5.03,CN,2023-02-02 06:57:51
290,karaton,-6.3424,106.1045,86.76,55,78,7.56,ID,2023-02-02 06:57:52
291,dahuk,36.8695,42.994,44.49,69,99,15.37,IQ,2023-02-02 06:57:53
292,acajutla,13.5928,-89.8275,76.78,67,10,6.2,SV,2023-02-02 06:57:54
293,komsomolskiy,40.4272,71.7189,41.72,52,100,2.3,UZ,2023-02-02 06:57:54
294,coihaique,-45.5752,-72.0662,55.35,62,0,3.44,CL,2023-02-02 06:56:57
295,yermolino,55.1949,36.5951,26.44,84,100,8.01,RU,2023-02-02 06:57:56
296,berlevag,70.8578,29.0864,31.95,51,40,9.22,NO,2023-02-02 06:57:57
297,phuket,8.0,98.25,89.82,51,20,12.66,TH,2023-02-02 06:53:57
298,maragogi,-9.0122,-35.2225,76.39,81,36,3.8,BR,2023-02-02 06:57:58
299,norman wells,65.282,-126.8329,-41.76,66,0,2.3,CA,2023-02-02 06:57:59
300,ruwi,23.5996,58.5507,73.54,58,0,8.41,OM,2023-02-02 06:58:00
301,praia,14.9215,-23.5087,68.54,68,20,17.27,CV,2023-02-02 06:58:00
302,piacabucu,-10.4056,-36.4344,75.04,88,12,4.32,BR,2023-02-02 06:58:01
303,ucluelet,48.9329,-125.5528,42.1,89,100,1.99,CA,2023-02-02 06:58:02
304,nago,26.5881,127.9761,68.45,72,100,11.45,JP,2023-02-02 06:58:02
305,gaoyou,32.7858,119.4278,44.56,37,100,10.27,CN,2023-02-02 06:58:03
306,marienburg,54.0359,19.0266,37.85,98,100,6.76,PL,2023-02-02 06:58:03
307,vilhena,-12.7406,-60.1458,67.57,98,87,2.24,BR,2023-02-02 06:58:04
308,sag,45.6486,21.1756,41.0,79,100,13.94,RO,2023-02-02 06:58:05
309,krasnoselkup,65.7,82.4667,7.34,96,100,10.78,RU,2023-02-02 06:58:06
310,gaspe,48.8334,-64.4819,8.51,72,0,9.22,CA,2023-02-02 06:53:47
311,puerto rondon,6.2805,-71.1,71.56,54,18,5.55,CO,2023-02-02 06:58:07
312,kaeo,-35.1,173.7833,73.33,96,88,10.42,NZ,2023-02-02 06:58:07
313,cherskiy,68.75,161.3,-8.75,99,100,2.8,RU,2023-02-02 06:58:08
314,lata,40.1629,-8.3327,37.09,86,0,4.5,PT,2023-02-02 06:58:08
315,bambamarca,-6.6833,-78.5333,53.53,99,100,2.71,PE,2023-02-02 06:58:09
316,jiujiang,29.7333,115.9833,43.16,56,100,14.9,CN,2023-02-02 06:58:10
317,anloga,5.7947,0.8973,79.99,82,5,6.15,GH,2023-02-02 06:58:10
318,aksehir,38.3575,31.4164,28.44,61,10,4.03,TR,2023-02-02 06:58:11
319,rudnogorsk,57.2639,103.7519,9.57,85,100,6.71,RU,2023-02-02 06:58:11
320,todos santos,23.45,-110.2167,57.31,85,31,4.0,MX,2023-02-02 06:58:12
321,nosivka,50.9315,31.5828,31.53,94,93,8.97,UA,2023-02-02 06:58:13
322,hailar,49.2,119.7,-1.64,91,22,7.58,CN,2023-02-02 06:58:13
323,wuwei,37.9281,102.6414,35.33,25,30,3.36,CN,2023-02-02 06:58:14
324,hanzhong,33.0728,107.0303,50.7,38,100,4.83,CN,2023-02-02 06:58:15
325,beauceville,46.2179,-70.7787,11.86,85,100,3.44,CA,2023-02-02 06:58:16
326,houma,29.5958,-90.7195,59.0,95,100,6.91,US,2023-02-02 06:58:16
327,gat,31.61,34.7642,53.08,100,91,13.56,IL,2023-02-02 06:58:17
328,trincomalee,8.5711,81.2335,79.81,82,100,12.64,LK,2023-02-02 06:58:17
329,camapua,-19.5314,-54.0439,70.54,91,97,1.32,BR,2023-02-02 06:58:18
330,puerto escondido,15.85,-97.0667,75.96,67,1,5.44,MX,2023-02-02 06:58:19
331,ekibastuz,51.6667,75.3667,8.15,86,23,4.7,KZ,2023-02-02 06:58:19
332,mecca,21.4267,39.8261,67.75,42,4,13.67,SA,2023-02-02 06:57:12
333,dire,12.2833,-10.9667,70.86,21,10,2.24,ML,2023-02-02 06:58:20
334,cornelio procopio,-23.1811,-50.6467,66.49,98,100,2.1,BR,2023-02-02 06:58:21
335,buala,-8.145,159.5921,81.66,81,100,6.93,SB,2023-02-02 06:58:21
336,kochubey,44.3861,46.5825,34.65,68,100,7.92,RU,2023-02-02 06:58:22
337,severo-zadonsk,54.0348,38.4017,23.29,94,26,9.24,RU,2023-02-02 06:58:23
338,bulgan,48.8125,103.5347,12.7,76,28,0.67,MN,2023-02-02 06:58:23
339,el jicaro,14.9167,-89.9,67.66,96,31,2.62,GT,2023-02-02 06:58:24
340,ixtapa,20.7,-105.2,70.23,86,100,2.64,MX,2023-02-02 06:58:24
341,los llanos de aridane,28.6585,-17.9182,53.35,67,0,10.36,ES,2023-02-02 06:58:25
